Open,Close.Last
11351.31,11607.62
11137.68,11232.19
10941.95,11053.08
10974.05,11069.3
10697.55,10798.35
10806.02,10646.1
10968.4,11099.15
10897.43,10828.35
10986.85,10809.23
11543.88,11340.02
12016.47,11754.23
12147.28,12086.27
11925.81,12175.23
12200.33,12061.37
12097.12,12012.73
11945.57,12316.9
12176.89,11994.46
12137.54,12081.39
11869.69,12131.13
11409.84,11740.65
11225.03,11434.74
11326.44,11264.45
11395.47,11535.27
11542.67,11354.62
11364.4,11388.5
11790.68,11418.15
11887.98,11984.52
11727.14,11662.79
11555.97,11805
11199.25,11370.96
11645.57,11364.24
11900.34,11737.67
11923.03,11623.25
12246.83,12144.66
12787.52,12317.69
12574.73,12964.86
12511.46,12563.76
12331.69,12536.02
12710.42,12334.64
12712.86,12871.53
12500.88,12488.93
12918.04,12490.74
12749.17,13004.85
13168.8,12839.29
13623.7,13174.65
13665.38,13453.07
13312.44,13619.66
13319.39,13332.36
13647.43,13351.08
13373.12,13643.59
13584.69,13371.57
13547.29,13411.96
13830.47,13711
13861.49,13897.3
14002.58,13888.82
14262.28,14204.17
14304.35,14532.55
14269.53,14261.5
14444.78,14220.52
14558.59,14442.27
14500.39,14619.64
14177.21,14354.9
14194.72,14169.3
14001.32,14191.84
13990.35,13922.6
13866.43,14108.82
13860.39,13838.46
13564.63,13893.84
13360.72,13614.78
13119.36,13436.55
12685.23,12948.62
12795.12,12581.22
13229.77,12843.81
13098.35,13129.96
13113.7,13255.55
12800.04,12795.55
13328.36,12830.96
13455.23,13313.44
13837.59,13537.94
13597.53,13752.02
13716.7,13532.46
13570.83,13751.4
13485.26,13694.62
12587.88,13473.58
13511.75,13037.49
13424.36,13381.52
13735.4,13548.07
14004.19,13716.72
14038.92,14124.09
13997.18,14139.76
13768.97,13790.92
14213.62,13791.15
14228.68,14185.64
14368.16,14490.37
13984.43,14194.45
14118.79,14015.67
13958.48,14098.01
14045.83,13878.82
14494.47,14417.55
14277.43,14346
13812.19,14239.88
13436.71,13770.57
13710.99,13352.78
13871.77,13542.12
13610.87,13539.29
13481.5,13855.13
14046.22,13768.92
14462.85,14154.02
14582.22,14340.26
14681.83,14506.9
14708.02,14893.75
15245.04,14806.81
15263.1,15188.39
14919.26,15153.45
14751.78,14942.83
15095.72,14935.9
15024.15,15080.86
15547.16,15100.17
15852.14,15622.72
15732.5,15832.8
15722.91,15644.97
15758.98,15741.56
15794.92,15766.22
15895.2,15781.72
15696.83,15871.26
15544.79,15653.37
15319.16,15521.89
15140.43,15341.09
14933,14980.94
15036.77,15169.68
15629.08,15180.43
15230.71,15565.58
15215.96,15237.64
15621.27,15413.28
15629.59,15630.6
15720.54,15517.37
15690.65,15786.99
